Title,Description,Image URL,Address,Country,Number of Bedrooms,Number of Bathrooms,Floor Size (m2),Price (USD),Property URL
"Home For Sale, Denizli Turkey",Home at Denizli Turkey.,https://assets.xomio.com/listings/images/rl-134377395__0__720.jpg,Denizli,Turkey,,,4500.0,3450713,https://www.century21global.com/en/p/denizli-turkey--rl-134377395
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With Sea View, Park View, Pool View, City View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134794102__0__720.jpg,İstanbul-Anadolu,Turkey,,,660.0,3306933,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134794102
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134960405__0__720.jpg,Ankara,Turkey,,,600.0,3134398,https://www.century21global.com/en/p/ankara-turkey--rl-134960405
"Home For Sale, Bursa 16110 Turkey",Home at Bursa 16110 Turkey.,https://assets.xomio.com/listings/images/rl-134912734__0__720.jpg,Bursa,Turkey,,,,3019374,https://www.century21global.com/en/p/bursa-16110-turkey--rl-134912734
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 5 bedrooms, 5 bathrooms, Park View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-133253252__0__720.jpg,İstanbul-Anadolu,Turkey,5.0,5.0,700.0,2832460,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133253252
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 4 bedrooms, 3 bathrooms, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134506848__0__720.jpg,İstanbul-Avrupa,Turkey,4.0,3.0,340.0,2789326,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134506848
"Home For Sale, Balıkesir Turkey",Home at Balıkesir Turkey.,https://assets.xomio.com/listings/images/rl-134620180__0__720.jpg,Balıkesir,Turkey,,,13570.0,2739003,https://www.century21global.com/en/p/balıkesir-turkey--rl-134620180
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-133099240__0__720.jpg,Mugla,Turkey,,,,2703058,https://www.century21global.com/en/p/muğla-turkey--rl-133099240
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134718786__0__720.jpg,Mugla,Turkey,,,6813.0,2674303,https://www.century21global.com/en/p/muğla-turkey--rl-134718786
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 2 bedrooms, 3 bathrooms, Sea View, Park View, Pool View, City View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134237745__0__720.jpg,İstanbul-Avrupa,Turkey,2.0,3.0,160.0,2616791,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134237745
"Home For Sale, Kırklareli Turkey",Home at Kırklareli Turkey.,https://assets.xomio.com/listings/images/rl-134730836__0__720.jpg,Kırklareli,Turkey,,,38408.0,2588035,https://www.century21global.com/en/p/kırklareli-turkey--rl-134730836
"Home For Sale, Kocaeli Turkey",Home at Kocaeli Turkey.,https://assets.xomio.com/listings/images/rl-134794116__0__720.jpg,Kocaeli,Turkey,,,,2588035,https://www.century21global.com/en/p/kocaeli-turkey--rl-134794116
"Condominium/Co-Op For Sale, Mugla Turkey",Condominium/Co-Op at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134828797__0__720.jpg,Mugla,Turkey,,,,2559279,https://www.century21global.com/en/p/muğla-turkey--rl-134828797
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 7 bedrooms, 9 bathrooms, Sea View, Pool View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134594851__0__720.jpg,Mugla,Turkey,7.0,9.0,374.0,2530523,https://www.century21global.com/en/p/muğla-turkey--rl-134594851
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 4 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134594856__0__720.jpg,Mugla,Turkey,4.0,4.0,450.0,2516145,https://www.century21global.com/en/p/muğla-turkey--rl-134594856
"Home For Sale, Edirne Turkey",Home at Edirne Turkey.,https://assets.xomio.com/listings/images/rl-134293703__0__720.jpg,Edirne,Turkey,,,64.0,2444255,https://www.century21global.com/en/p/edirne-turkey--rl-134293703
"Home For Sale, Afyonkarahisar Turkey",Home at Afyonkarahisar Turkey.,https://assets.xomio.com/listings/images/rl-132453101__0__720.jpg,Afyonkarahisar,Turkey,,,27.0,2444255,https://www.century21global.com/en/p/afyonkarahisar-turkey--rl-132453101
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-133374055__0__720.jpg,Mugla,Turkey,,,41900.0,2415499,https://www.century21global.com/en/p/muğla-turkey--rl-133374055
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 4 bedrooms, 2 bathrooms, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134794107__0__720.jpg,İstanbul-Anadolu,Turkey,4.0,2.0,175.0,2271719,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134794107
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134858801__0__720.jpg,Mugla,Turkey,,,,2219240,https://www.century21global.com/en/p/muğla-turkey--rl-134858801
"Single Family House For Sale, İstanbul-Avrupa Turkey","Single Family House at İstanbul-Avrupa Turkey With 6 bedrooms, 5 bathrooms, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-135001429__0__720.jpg,İstanbul-Avrupa,Turkey,6.0,5.0,440.0,2214207,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-135001429
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 5 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134141109__0__720.jpg,Ankara,Turkey,5.0,0.0,2300.0,2127940,https://www.century21global.com/en/p/ankara-turkey--rl-134141109
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-133984007__0__720.jpg,İstanbul-Avrupa,Turkey,,,490.0,2113562,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133984007
"Home For Sale, İstanbul-Avrupa 330 Turkey",Home at İstanbul-Avrupa 330 Turkey.,https://assets.xomio.com/listings/images/rl-134146267__0__720.jpg,İstanbul-Avrupa,Turkey,,,490.0,2113562,https://www.century21global.com/en/p/i̇stanbul-avrupa-330-turkey--rl-134146267
"Home For Sale, Bursa 16700 Turkey",Home at Bursa 16700 Turkey.,https://assets.xomio.com/listings/images/rl-134828796__0__720.jpg,Bursa,Turkey,,,9548.0,2070428,https://www.century21global.com/en/p/bursa-16700-turkey--rl-134828796
"Home For Sale, Mugla 48400 Turkey","Home at Mugla 48400 Turkey With 7 bedrooms, 7 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-133723076__0__720.jpg,Mugla,Turkey,7.0,7.0,575.0,2070428,https://www.century21global.com/en/p/muğla-48400-turkey--rl-133723076
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134990921__0__720.jpg,İstanbul-Avrupa,Turkey,,,,2070428,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134990921
"Home For Sale, Batman Turkey",Home at Batman Turkey.,https://assets.xomio.com/listings/images/rl-134557535__0__720.jpg,Batman,Turkey,,,560.0,2012916,https://www.century21global.com/en/p/batman-turkey--rl-134557535
,,,,,,,,,
"Home For Sale, Batman Turkey","Home at Batman Turkey With 3 bedrooms, 0 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134545340__0__720.jpg,Batman,Turkey,3.0,0.0,560.0,2012916,https://www.century21global.com/en/p/batman-turkey--rl-134545340
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134809586__0__720.jpg,İstanbul-Avrupa,Turkey,,,480.0,1998538,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134809586
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134076977__0__720.jpg,İstanbul-Avrupa,Turkey,6.0,0.0,750.0,2000000,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134076977
"Home For Sale, Izmir Turkey","Home at Izmir Turkey With 4 bedrooms, 3 bathrooms, Sea View, Pool View, parking lot.",https://assets.xomio.com/listings/images/rl-134680093__0__720.jpg,Izmir,Turkey,4.0,3.0,350.0,1984160,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134680093
"Home For Sale, Kocaeli Turkey","Home at Kocaeli Turkey With 5 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134349195__0__720.jpg,Kocaeli,Turkey,5.0,0.0,1300.0,1941026,https://www.century21global.com/en/p/kocaeli-turkey--rl-134349195
"Home For Sale, Izmir Turkey","Home at Izmir Turkey With 5 bedrooms, 4 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134435243__0__720.jpg,Izmir,Turkey,5.0,4.0,180.0,1926648,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134435243
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134506830__0__720.jpg,Ankara,Turkey,6.0,0.0,500.0,1912270,https://www.century21global.com/en/p/ankara-turkey--rl-134506830
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134320508__0__720.jpg,İstanbul-Anadolu,Turkey,6.0,0.0,350.0,1897892,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134320508
"Home For Sale, İstanbul-Avrupa 34450 Turkey","Home at İstanbul-Avrupa 34450 Turkey With 9 bedrooms, 5 bathrooms, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-135001440__0__720.jpg,İstanbul-Avrupa,Turkey,9.0,5.0,550.0,1897892,https://www.century21global.com/en/p/i̇stanbul-avrupa-34450-turkey--rl-135001440
"Condominium/Co-Op For Sale, İstanbul-Avrupa Turkey","Condominium/Co-Op at İstanbul-Avrupa Turkey With 5 bedrooms, 3 bathrooms, Sea View, Park View, City View, Park or Green Belt View.",https://assets.xomio.com/listings/images/rl-133803226__0__720.jpg,İstanbul-Avrupa,Turkey,5.0,3.0,320.0,1869136,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133803226
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 6 bedrooms, 4 bathrooms, Park View, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134468319__0__720.jpg,Ankara,Turkey,6.0,4.0,380.0,1869136,https://www.century21global.com/en/p/ankara-turkey--rl-134468319
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 2 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133153998__0__720.jpg,İstanbul-Avrupa,Turkey,2.0,0.0,,1840380,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133153998
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 8 bedrooms, 5 bathrooms, Lake View, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-133434698__0__720.jpg,İstanbul-Avrupa,Turkey,8.0,5.0,,1811624,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133434698
"Single Family House For Sale, Mugla Turkey","Single Family House at Mugla Turkey With 4 bedrooms, 4 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134560836__0__720.jpg,Mugla,Turkey,4.0,4.0,480.0,1797246,https://www.century21global.com/en/p/muğla-turkey--rl-134560836
"Home For Sale, İstanbul-Anadolu 3400 Turkey",Home at İstanbul-Anadolu 3400 Turkey.,https://assets.xomio.com/listings/images/rl-134908538__0__720.jpg,İstanbul-Anadolu,Turkey,,,468.0,1797246,https://www.century21global.com/en/p/i̇stanbul-anadolu-3400-turkey--rl-134908538
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 6 bedrooms, 4 bathrooms.",https://assets.xomio.com/listings/images/rl-133773021__0__720.jpg,Ankara,Turkey,6.0,4.0,620.0,1782581,https://www.century21global.com/en/p/ankara-turkey--rl-133773021
